date,bandNumber,type
2016-07-05,2531-74567,P
2016-07-05,2531-74567,T
2016-07-05,2531-90261,T
2016-07-05,2571-70346,T
2016-07-06,2531-74600,T
2016-07-08,2331-09151,P
2016-07-08,2711-77640,T
2016-07-09,2441-13876,T
2016-07-09,2651-43242,P
2016-07-10,2571-83052,P
2016-07-10,2571-83052,T
2016-07-10,2651-47623,T
2016-07-11,2641-85630,T
2016-07-12,2421-11984,T
2016-07-12,2531-90268,T
2016-07-12,2531-90270,T
2016-07-12,2651-56764,T
2016-07-12,2651-56766,T
2016-07-12,2711-77626,T
2016-07-12,2711-77630,T
2016-07-14,2291-44259,T
2016-07-14,2561-86637,T
2016-07-14,2641-63786,T
2016-07-18,2651-17152,T
2016-07-31,1991-18075,P
2016-08-07,2641-96685,P
2016-08-07,2651-43227,T
2016-08-09,2331-09151,P
2016-08-09,2641-96748,P
2016-08-09,2641-96749,P
2016-09-04,2641-96685,P
2016-09-21,2641-63670,P
2016-09-26,1891-11070,P
2016-10-06,2641-96749,P
2016-10-27,1891-11072,P
2016-11-11,2651-17146,P
2016-11-29,2561-86608,P
2016-12-02,1891-11072,P
2016-12-06,1991-18075,P
2016-12-17,2651-17146,P
2017-01-07,2531-74554,P
2017-01-21,2331-09151,P
2017-01-22,2641-63637,P
2017-01-22,2641-64000,P
2017-01-23,2641-63637,P
2017-01-25,2641-96752,P
2017-01-27,2651-17146,P
2017-02-03,2641-96748,P
2017-02-11,2651-17146,P
2017-03-09,2651-17146,P
2017-03-14,2641-63776,P
2017-03-19,2641-63901,P
2017-03-25,2531-74567,P
2017-03-28,2421-11396,P
2017-03-29,2531-99391,T
2017-03-31,1891-11072,P
2017-04-04,2421-11371,P
2017-04-17,2651-17146,P
2017-04-18,2421-11945,T
2017-04-19,2421-11945,T
2017-04-21,2561-86610,P
2017-04-21,2651-52495,T
2017-04-24,2641-96748,T
2017-04-24,2641-96752,T
2017-04-26,2421-11586,T
2017-04-29,2641-63760,T
2017-04-29,2651-43273,P
2017-04-30,2561-86637,P
2017-05-03,2641-85630,P
2017-05-05,2651-43273,P
2017-05-08,2561-86608,P
2017-05-13,2531-90261,T
2017-05-13,2571-70346,T
2017-05-13,2651-47609,T
2017-05-17,2651-43275,P
2017-05-18,2641-96753,P
2017-05-19,2571-90190,T
2017-05-23,2651-43283,T
2017-05-25,1891-11047,P
2017-05-27,2531-90271,T
2017-05-27,2651-56764,T
2017-05-28,2331-09151,P
2017-05-28,2641-96748,P
2017-05-28,2651-43251,T
2017-06-01,2441-13838,T
2017-06-01,2571-89968,T
2017-06-01,2641-63794,T
2017-06-02,2531-90281,T
2017-06-03,2651-17146,P
2017-06-05,2331-09305,T
2017-06-14,2331-09151,P
2017-06-14,2421-11976,P
2017-06-15,2531-74567,T
2017-06-15,2641-63884,P
2017-06-15,2641-96685,P
2017-06-17,2711-77613,T
2017-06-21,2341-30151,T
2017-06-21,2711-77640,T
2017-06-22,2641-96894,T
2017-06-24,2651-43273,T
2017-06-29,2641-63758,T
2017-06-30,2441-96360,T
2017-07-01,2651-17112,T
2017-07-03,2561-56890,T
2017-07-03,2561-56891,T
2017-07-04,2651-47524,P
2017-07-05,2641-63871,T
2017-07-05,2651-47534,T
2017-07-09,2531-90229,T
2017-07-10,2661-31594,T
2017-07-11,2711-77607,T
2017-07-12,2531-90243,T
2017-07-13,2651-56758,T
2017-07-13,2711-77618,T
2017-07-14,2641-96752,P
2017-07-17,2441-96391,T
2017-07-19,2331-09151,P
2017-07-24,2641-85630,P
2017-07-24,2651-43273,P
2017-07-31,2651-17111,P
2017-07-31,2651-17112,P
2017-08-06,2651-17112,P
2017-08-26,1891-11047,P
2017-09-07,1891-11047,P
2017-09-20,2651-17111,P
2017-09-30,2561-56831,P
2017-10-17,1891-11047,P
2017-10-18,2641-96686,P
2017-11-28,1891-11047,P
2017-12-14,1891-11047,P
